This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
eabdbebbd9972178da3301a4409e3cc29095b58d7eefbbee6b333309f536392e 13 0 0 0
9e386638b59394e4f525ee8b36d6d75bbb0e569dfecf3f92c1abdf3679dcc4d5 16 0 0 0
8b8278e6eed1b42da9b0bd8e6054de06e04052b6faf442be3d5e7c09a598f036 7 0 0 0
bd6fa5fa8c12f40c796727e2ae8206c7a0b6e962a5e97da1ead612451c248afd 2 0 0 0
3c1bd6564b80723f4622829133d408e81988286fadec425b9b59a4ff6e4c5ed5 1 0 0 0
770ef2954b506508a48e4dfe32d17eb9d2e1854baf71476a528fa7f6aead362f 191 0 0 0
153d6531210c941908123c1171819c15369756da26f7aed557f049baca00fd89 64 10 908 203
7491a0f7ede02d7cd844c7a42dfd597f002313c3094bf90c1a1fba20dbbccf3a 37 0 0 0
d2ddb49885332eba7be5566b6d168658c9827466907b00d146ea2d1e50c36dd5 10 0 0 0
8391207a32e954f169f1dcc640664c5a589d9fd59ac7942c40003ae2f736567d 2 0 0 0
5f82237fa5ed2cd59bd381766f2e5217f5041c0027e97918f5f743c5e0b89fb0 3 3 10948 4
c86ebba6da234ab5d6104a8e8731b37aee1686f601edaeaf4f4738123397f2ea 71 0 0 0
29dfda0493adbe78ea05789dba2f690f167af9c57453bc8c41d8b856449aac82 20 0 0 0
4191e100a14b717f189004014def3cf1c710ff35cbcf6c32f195fbe9325b770d 7 0 0 0
7250997e2eaf016cdf9c1043d62dbd398d4a203e93dac0575200f262194d9f84 2 0 0 0
296a283dd554bc802d770f13fd3de7e360ef70af5a3ff54db36eaa168400417a 5 0 0 0
a464a0b0324e8ea13ec43d6850eb2a89ee1d4623752bbee4ccfdb9015995e36e 9 7 927307 130505
42a2ad398c23e6c50e9d73755c4b6b0d8f33b77460329e69a7bae0942e9a720a 1 0 0 0
869390b254c797e0d4b3ac133360f71e5594bd6ce6d2e114fa5572c64ebe1766 5 0 0 0
0bb16dedc285f4b9f84fe1d60c64f080b15976f3fbabfc5a60354701aefcd2ad 5 5 28951 14796
146c4a7b88ad63fc10453ec664a8e8db7b00832cf726c457383723838da6af86 4 4 23983 86
2c1a7ef6a9a7dd0a2fdf4031b3980bdf1ea812fc77ef6da82509b5c5c4b0ed04 43 34 1364 485
393b912c9d5e31ab2971b0782d65f7dab3d571879256a499533a757934a242c3 1 0 0 0
3e1c1f6699d57541c3f15462b2cac272ffa9eaad21e06216b7455caa31338cb8 13 13 14109 22
086afe403a7d3a9fd978d2ee3d86712db3170ccb26f82a07d2b5e2b458d08b5c 16 0 0 0
269ea77f859a2948cba4122cddfb7324a425ed3c5f3be5a84de65dff4520d3cd 1 0 0 0
6ce358715374411b8216dfa46d07c191e8c8aea04b25a562b6d98ce027dab615 31 31 26344 15442
90d44f0ea10ddeeea4900ec4b2768cd63b569b98143b147eb1ff9c7ec2d82c66 31 0 0 0
2808eecd913acb779e7d232f3a32599856c6fdeaa5e455e08d53451a00b95025 71 0 0 0
